,source,target,contraction
0,Metrics (Networking),Bandwidth (Computing),0
1,Metrics (Networking),Reliability (Computer Networking),0
2,Metrics (Networking),Router (Computing),0
3,Agent-Based Model,Algorithm,0
4,Agent-Based Model,Allen Newell,0
5,Agent-Based Model,Ant Colony Optimization Algorithm,0
6,Agent-Based Model,Artificial Life,0
7,Agent-Based Model,Biology,0
8,Agent-Based Model,Bounded Rationality,0
9,Agent-Based Model,Cambridge University Press,0
10,Agent-Based Model,Cellular Automata,0
11,Agent-Based Model,Citeseerx (Identifier),0
12,Agent-Based Model,Cognition,0
13,Agent-Based Model,Collective Intelligence,0
14,Agent-Based Model,Compartmental Models In Epidemiology,0
15,Agent-Based Model,Complex Adaptive System,0
16,Agent-Based Model,Complex System,0
17,Agent-Based Model,Complexity,0
18,Agent-Based Model,Computational Sociology,0
19,Agent-Based Model,Computer Simulation,0
20,Agent-Based Model,Distributed Artificial Intelligence,0
21,Agent-Based Model,Distributed Computing,0
22,Agent-Based Model,Dynamic Network Analysis,0
23,Agent-Based Model,Ecology,0
24,Agent-Based Model,Emergence,0
25,Agent-Based Model,Evolutionary Algorithm,0
26,Agent-Based Model,Facebook,0
27,Agent-Based Model,Game Theory,0
28,Agent-Based Model,Geographic Information System,0
29,Agent-Based Model,Hdl (Identifier),0
30,Agent-Based Model,Issn (Identifier),0
31,Agent-Based Model,Immune System,0
32,Agent-Based Model,International Relations,0
33,Agent-Based Model,John Henry Holland,0
34,Agent-Based Model,John Wiley & Sons,0
35,Agent-Based Model,John Von Neumann,0
36,Agent-Based Model,Large Language Model,0
37,Agent-Based Model,Monte Carlo Method,0
38,Agent-Based Model,Multi-Agent System,0
39,Agent-Based Model,Nature (Journal),0
40,Agent-Based Model,Network Topology,0
41,Agent-Based Model,Pmc (Identifier),0
42,Agent-Based Model,Particle Swarm Optimization,0
43,Agent-Based Model,Population Dynamics,0
44,Agent-Based Model,Prisoner'S Dilemma,0
45,Agent-Based Model,Public Policy,0
46,Agent-Based Model,Robert Axelrod (Political Scientist),0
47,Agent-Based Model,S2Cid (Identifier),0
48,Agent-Based Model,Santa Fe Institute,0
49,Agent-Based Model,Social Network Analysis,0
50,Agent-Based Model,Social Complexity,0
51,Agent-Based Model,Social Dynamics,0
52,Agent-Based Model,Social Network,0
53,Agent-Based Model,Social Science,0
54,Agent-Based Model,Sociobiology,0
55,Agent-Based Model,Steady State,0
56,Agent-Based Model,Stochastic Process,0
57,Agent-Based Model,Swarm Behaviour,0
58,Agent-Based Model,System Dynamics,0
59,Agent-Based Model,University Of Chicago,0
60,Agent-Based Model,Von Neumann Architecture,0
61,Agent-Based Model,Wayback Machine,0
62,Agent-Based Model,Wireless Sensor Network,0
63,Agent-Based Model,Epidemic,0
64,Agent-Based Model,Power-Law Distribution,0
65,Agent-Based Model,Carnegie-Mellon University,0
66,Exponential Random Graph Model,Adjacency List,0
67,Exponential Random Graph Model,Adjacency Matrix,0
68,Exponential Random Graph Model,Agent-Based Model,0
69,Exponential Random Graph Model,Artificial Neural Network,0
70,Exponential Random Graph Model,Assortativity,0
71,Exponential Random Graph Model,Balance Theory,0
72,Exponential Random Graph Model,Barabási–Albert Model,0
73,Exponential Random Graph Model,Bianconi–Barabási Model,0
74,Exponential Random Graph Model,Biological Network,0
75,Exponential Random Graph Model,Bipartite Graph,0
76,Exponential Random Graph Model,Blockmodeling,0
77,Exponential Random Graph Model,Boolean Network,0
78,Exponential Random Graph Model,Centrality,0
79,Exponential Random Graph Model,Citeseerx (Identifier),0
80,Exponential Random Graph Model,Clique (Graph Theory),0
81,Exponential Random Graph Model,Clustering Coefficient,0
82,Exponential Random Graph Model,Combinatorial Optimization,0
83,Exponential Random Graph Model,Community Structure,0
84,Exponential Random Graph Model,Complete Graph,0
85,Exponential Random Graph Model,Complex Contagion,0
86,Exponential Random Graph Model,Complex Network,0
87,Exponential Random Graph Model,Computational Complexity Theory,0
88,Exponential Random Graph Model,Computer Network,0
89,Exponential Random Graph Model,Confounding,0
90,Exponential Random Graph Model,Connected Component (Graph Theory),0
91,Exponential Random Graph Model,Cut (Graph Theory),0
92,Exponential Random Graph Model,Cycle (Graph Theory),0
93,Exponential Random Graph Model,Degree (Graph Theory),0
94,Exponential Random Graph Model,Degree Distribution,0
95,Exponential Random Graph Model,Dependency Network,0
96,Exponential Random Graph Model,Directed Graph,0
97,Exponential Random Graph Model,Distance (Graph Theory),0
98,Exponential Random Graph Model,Edge (Graph Theory),0
99,Exponential Random Graph Model,Efficiency (Network Science),0
100,Exponential Random Graph Model,Epidemic Model,0
101,Exponential Random Graph Model,Erdős–Rényi Model,0
102,Exponential Random Graph Model,Evolving Networks,0
103,Exponential Random Graph Model,Exponential Family,0
104,Exponential Random Graph Model,Fitness Model (Network Theory),0
105,Exponential Random Graph Model,Flow Network,0
106,Exponential Random Graph Model,Gibbs Entropy,0
107,Exponential Random Graph Model,Graph (Abstract Data Type),0
108,Exponential Random Graph Model,Graph (Discrete Mathematics),0
109,Exponential Random Graph Model,Graph Drawing,0
110,Exponential Random Graph Model,Graph Isomorphism,0
111,Exponential Random Graph Model,Hdl (Identifier),0
112,Exponential Random Graph Model,Hierarchical Network Model,0
113,Exponential Random Graph Model,Homophily,0
114,Exponential Random Graph Model,Hyperbolic Geometric Graph,0
115,Exponential Random Graph Model,Hypergraph,0
116,Exponential Random Graph Model,Issn (Identifier),0
117,Exponential Random Graph Model,Incidence List,0
118,Exponential Random Graph Model,Incidence Matrix,0
119,Exponential Random Graph Model,Interdependent Networks,0
120,Exponential Random Graph Model,Jstor (Identifier),0
121,Exponential Random Graph Model,Labeled Graph,0
122,Exponential Random Graph Model,Lancichinetti–Fortunato–Radicchi Benchmark,0
123,Exponential Random Graph Model,Linear Regression,0
124,Exponential Random Graph Model,Link Analysis,0
125,Exponential Random Graph Model,Loop (Graph Theory),0
126,Exponential Random Graph Model,Markov Chain,0
127,Exponential Random Graph Model,Maximum-Entropy Random Graph Model,0
128,Exponential Random Graph Model,Metrics (Networking),0
129,Exponential Random Graph Model,Modularity (Networks),0
